respondent_id,treatment,group,treat_market,treat_incentive,treatment_1,treatment_2,treatment_3,party_id_7pt,party_code,is_republican,age,education,bachelors_or_higher,bachelors_or_higher_missing,gender,male,occupation_field,employment_status,fulltime_or_business_owner,fulltime_or_business_owner_missing,hispanic,household_income,household_income_midpoint_imputed,household_income_prefer_not_say,race,race_white,race_black,prior_awareness,prior_awareness_missing,prior_participation,prior_participation_missing,attention_check,Flag_Dropped_Before_Post,Flag_Failed_Attention,Flag_Speeder,Flag_StraightLiner,Flag_Age_OutOfRange,Flag_Resolved_Workforce_Market,Flag_Event2_Excluded_Missing_Market,f_pre_E1,f_E1,m_E1,included_E1,dev_E1,abs_market_dist_E1,pre_included_E1,pre_dev_E1,pre_abs_market_dist_E1,market_movement_E1,f_pre_E2,f_E2,m_E2,included_E2,dev_E2,abs_market_dist_E2,pre_included_E2,pre_dev_E2,pre_abs_market_dist_E2,market_movement_E2,f_pre_E3,f_E3,m_E3,included_E3,dev_E3,abs_market_dist_E3,pre_included_E3,pre_dev_E3,pre_abs_market_dist_E3,market_movement_E3,f_pre_E4,f_E4,m_E4,included_E4,dev_E4,abs_market_dist_E4,pre_included_E4,pre_dev_E4,pre_abs_market_dist_E4,market_movement_E4,dev_mean,n_dev_events,abs_market_dist_mean,n_abs_market_dist_events,pre_dev_mean,n_pre_dev_events,pre_abs_market_dist_mean,n_pre_abs_market_dist_events,market_movement_mean,n_market_movement_events,pre_dev_mean_imputed,Flag_Control_Market_Imputed_E1,Flag_Control_Market_Imputed_E2,Flag_Control_Market_Imputed_E3,Flag_Control_Market_Imputed_E4
11,1,information_only,1,0,1,0,0,1.0,-1,0,54.0,bachelors_degree,1,0,woman,0,,,0,1,0,,65000.0,1,white,1,0,0.0,0,0.0,0,100.0,0,1,0,0,0,0,0,0.68,0.67,0.655,1,0.015000000000000013,0.015000000000000013,1,0.025000000000000022,0.025000000000000022,0.010000000000000009,0.14,0.38,0.5,1,-0.12,0.12,1,-0.36,0.36,0.24,0.71,0.63,0.565,1,0.06500000000000006,0.06500000000000006,1,0.14500000000000002,0.14500000000000002,0.07999999999999996,0.78,0.93,0.9015,1,0.02850000000000008,0.02850000000000008,1,-0.12149999999999994,0.12149999999999994,0.09299999999999986,-0.002874999999999961,4,0.05712500000000004,4,-0.07787499999999997,4,0.162875,4,0.10574999999999996,4,0,0,0,0,0
12,0,control,0,0,0,0,0,1.0,-1,0,38.0,some_college,0,0,man,1,other,unemployed,0,0,0,$30_000_$39_999,35000.0,0,white,1,0,1.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.5,0.5,0.655,1,-0.15500000000000003,0.15500000000000003,1,-0.15500000000000003,0.15500000000000003,0.0,0.35,0.32,0.5,1,-0.18,0.18,1,-0.15000000000000002,0.15000000000000002,-0.02999999999999997,0.3,0.21,0.565,1,-0.355,0.355,1,-0.26499999999999996,0.26499999999999996,-0.09000000000000002,0.18,0.15,0.9015,1,-0.7515,0.7515,1,-0.7215,0.7215,-0.029999999999999916,-0.360375,4,0.360375,4,-0.322875,4,0.322875,4,-0.03749999999999998,4,0,0,0,0,0
13,0,control,0,0,0,0,0,3.0,-1,0,40.0,associate_degree,0,0,woman,0,medicine,full_time,1,0,0,$20_000_$29_999,25000.0,0,white,1,0,1.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.71,0.67,0.655,1,0.015000000000000013,0.015000000000000013,1,0.05499999999999994,0.05499999999999994,0.039999999999999925,0.14,0.05,0.5,1,-0.45,0.45,1,-0.36,0.36,-0.09000000000000002,0.09,0.06,0.565,1,-0.5049999999999999,0.5049999999999999,1,-0.475,0.475,-0.029999999999999916,0.56,0.57,0.9015,1,-0.3315,0.3315,1,-0.3414999999999999,0.3414999999999999,0.009999999999999898,-0.317875,4,0.32537499999999997,4,-0.280375,4,0.30787499999999995,4,-0.01750000000000003,4,0,0,0,0,0
14,1,information_only,1,0,1,0,0,1.0,-1,0,39.0,some_college,0,0,woman,0,finance,full_time,1,0,0,$125_000_$149_999,137500.0,0,white,1,0,1.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.5,0.65,0.655,1,-0.0050000000000000044,0.0050000000000000044,1,-0.15500000000000003,0.15500000000000003,0.15000000000000002,0.1,0.44,0.5,1,-0.06,0.06,1,-0.4,0.4,0.34,0.32,0.39,0.565,1,-0.17499999999999993,0.17499999999999993,1,-0.24499999999999994,0.24499999999999994,0.07,0.45,0.76,0.9015,1,-0.14149999999999996,0.14149999999999996,1,-0.45149999999999996,0.45149999999999996,0.31,-0.09537499999999997,4,0.09537499999999997,4,-0.312875,4,0.312875,4,0.21750000000000003,4,0,0,0,0,0
15,1,information_only,1,0,1,0,0,1.0,-1,0,26.0,bachelors_degree,1,0,woman,0,other,full_time,1,0,0,$175_000_$199_999,187500.0,0,white,1,0,1.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.62,0.7,0.655,1,0.04499999999999993,0.04499999999999993,1,-0.03500000000000003,0.03500000000000003,-0.009999999999999898,0.2,0.3,0.5,1,-0.2,0.2,1,-0.3,0.3,0.09999999999999998,0.62,0.68,0.565,1,0.1150000000000001,0.1150000000000001,1,0.05500000000000005,0.05500000000000005,-0.06000000000000005,0.51,0.93,0.9015,1,0.02850000000000008,0.02850000000000008,1,-0.39149999999999996,0.39149999999999996,0.3629999999999999,-0.002874999999999975,4,0.09712500000000003,4,-0.167875,4,0.19537500000000002,4,0.09824999999999998,4,0,0,0,0,0
16,3,betting_frame,1,1,0,0,1,1.0,-1,0,57.0,masters_degree,1,0,man,1,education_and_training,full_time,1,0,0,$125_000_$149_999,137500.0,0,white,1,0,1.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.8,0.81,0.655,1,0.15500000000000003,0.15500000000000003,1,0.14500000000000002,0.14500000000000002,-0.010000000000000009,0.75,0.64,0.5,1,0.14,0.14,1,0.25,0.25,0.10999999999999999,0.45,0.44,0.565,1,-0.12499999999999994,0.12499999999999994,1,-0.11499999999999994,0.11499999999999994,-0.010000000000000009,0.45,0.48,0.9015,1,-0.4215,0.4215,1,-0.45149999999999996,0.45149999999999996,0.02999999999999997,-0.06287499999999997,4,0.21037499999999998,4,-0.04287499999999997,4,0.240375,4,0.029999999999999985,4,0,0,0,0,0
17,2,accuracy_incentive,1,1,0,1,0,1.0,-1,0,42.0,masters_degree,1,0,woman,0,,,0,1,0,,65000.0,1,white,1,0,1.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.5,0.66,0.655,1,0.0050000000000000044,0.0050000000000000044,1,-0.15500000000000003,0.15500000000000003,0.15000000000000002,0.34,0.42,0.5,1,-0.08000000000000002,0.08000000000000002,1,-0.15999999999999998,0.15999999999999998,0.07999999999999996,0.5,0.5,0.565,1,-0.06499999999999995,0.06499999999999995,1,-0.06499999999999995,0.06499999999999995,0.0,0.61,0.88,0.9015,1,-0.021499999999999964,0.021499999999999964,1,-0.2915,0.2915,0.27,-0.04037499999999998,4,0.04287499999999998,4,-0.167875,4,0.167875,4,0.125,4,0,0,0,0,0
18,0,control,0,0,0,0,0,7.0,1,1,47.0,associate_degree,0,0,man,1,manufacturing,full_time,1,0,0,$200_000_$224_999,212500.0,0,white,1,0,0.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.53,0.53,0.655,1,-0.125,0.125,1,-0.125,0.125,0.0,0.71,0.74,0.5,1,0.24,0.24,1,0.20999999999999996,0.20999999999999996,-0.030000000000000027,0.89,0.91,0.565,1,0.3450000000000001,0.3450000000000001,1,0.32500000000000007,0.32500000000000007,-0.020000000000000018,0.49,0.56,0.9015,1,-0.3414999999999999,0.3414999999999999,1,-0.4115,0.4115,0.07000000000000006,0.02962500000000004,4,0.26287499999999997,4,-0.00037499999999998646,4,0.267875,4,0.0050000000000000044,4,0,0,0,0,0
19,1,information_only,1,0,1,0,0,1.0,-1,0,33.0,bachelors_degree,1,0,woman,0,manufacturing,full_time,1,0,0,$80_000_$89_999,85000.0,0,white,1,0,0.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.3,0.58,0.655,1,-0.07500000000000007,0.07500000000000007,1,-0.35500000000000004,0.35500000000000004,0.27999999999999997,0.58,0.59,0.5,1,0.08999999999999997,0.08999999999999997,1,0.07999999999999996,0.07999999999999996,-0.010000000000000009,0.37,0.64,0.565,1,0.07500000000000007,0.07500000000000007,1,-0.19499999999999995,0.19499999999999995,0.11999999999999988,0.73,0.66,0.9015,1,-0.24149999999999994,0.24149999999999994,1,-0.17149999999999999,0.17149999999999999,-0.06999999999999995,-0.03787499999999999,4,0.12037500000000001,4,-0.160375,4,0.20037499999999997,4,0.07999999999999997,4,0,0,0,0,0
20,1,information_only,1,0,1,0,0,1.0,-1,0,28.0,bachelors_degree,1,0,woman,0,arts,full_time,1,0,0,$150_000_$174_999,162500.0,0,white,1,0,1.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.49,0.55,0.655,1,-0.10499999999999998,0.10499999999999998,1,-0.16500000000000004,0.16500000000000004,0.06000000000000005,0.08,0.06,0.5,1,-0.44,0.44,1,-0.42,0.42,-0.020000000000000018,0.39,0.34,0.565,1,-0.22499999999999992,0.22499999999999992,1,-0.17499999999999993,0.17499999999999993,-0.04999999999999999,0.56,0.76,0.9015,1,-0.14149999999999996,0.14149999999999996,1,-0.3414999999999999,0.3414999999999999,0.19999999999999996,-0.22787499999999994,4,0.22787499999999994,4,-0.2753749999999999,4,0.2753749999999999,4,0.0475,4,0,0,0,0,0
21,0,control,0,0,0,0,0,7.0,1,1,58.0,associate_degree,0,0,woman,0,manufacturing,full_time,1,0,0,$30_000_$39_999,35000.0,0,white,1,0,0.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.4,0.45,0.655,1,-0.20500000000000002,0.20500000000000002,1,-0.255,0.255,0.04999999999999999,0.55,0.71,0.5,1,0.20999999999999996,0.20999999999999996,1,0.050000000000000044,0.050000000000000044,-0.15999999999999992,0.68,0.61,0.565,1,0.04500000000000004,0.04500000000000004,1,0.1150000000000001,0.1150000000000001,0.07000000000000006,0.8,0.76,0.9015,1,-0.14149999999999996,0.14149999999999996,1,-0.10149999999999992,0.10149999999999992,-0.040000000000000036,-0.022874999999999993,4,0.15037499999999998,4,-0.047874999999999945,4,0.13037500000000002,4,-0.019999999999999976,4,0,0,0,0,0
22,0,control,0,0,0,0,0,2.0,-1,0,29.0,some_college,0,0,woman,0,education_and_training,full_time,1,0,0,$40_000_$49_999,45000.0,0,white,1,0,0.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.5,0.4,0.655,1,-0.255,0.255,1,-0.15500000000000003,0.15500000000000003,-0.09999999999999998,0.36,0.41,0.5,1,-0.09000000000000002,0.09000000000000002,1,-0.14,0.14,0.04999999999999999,0.66,0.63,0.565,1,0.06500000000000006,0.06500000000000006,1,0.09500000000000008,0.09500000000000008,0.030000000000000027,0.5,0.5,0.9015,1,-0.40149999999999997,0.40149999999999997,1,-0.40149999999999997,0.40149999999999997,0.0,-0.170375,4,0.20287500000000003,4,-0.15037499999999998,4,0.19787500000000002,4,-0.0049999999999999906,4,0,0,0,0,0
23,1,information_only,1,0,1,0,0,7.0,1,1,50.0,associate_degree,0,0,woman,0,other,part_time,0,0,0,$70_000_$79_999,75000.0,0,white,1,0,0.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.2,0.3,0.655,1,-0.35500000000000004,0.35500000000000004,1,-0.455,0.455,0.09999999999999998,0.2,0.2,0.495,1,-0.295,0.295,1,-0.295,0.295,0.0,0.92,0.8,0.565,1,0.2350000000000001,0.2350000000000001,1,0.3550000000000001,0.3550000000000001,0.12,0.81,0.92,0.9015,1,0.018500000000000072,0.018500000000000072,1,-0.09149999999999991,0.09149999999999991,0.07299999999999984,-0.09912499999999996,4,0.22587500000000005,4,-0.12162499999999996,4,0.299125,4,0.07324999999999995,4,0,0,0,0,0
24,1,information_only,1,0,1,0,0,1.0,-1,0,26.0,bachelors_degree,1,0,woman,0,medicine,student,0,0,0,$100_000_$124_999,112500.0,0,white,1,0,0.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.5,0.6,0.655,1,-0.05500000000000005,0.05500000000000005,1,-0.15500000000000003,0.15500000000000003,0.09999999999999998,0.32,0.37,0.5,1,-0.13,0.13,1,-0.18,0.18,0.04999999999999999,0.36,0.47,0.565,1,-0.09499999999999997,0.09499999999999997,1,-0.20499999999999996,0.20499999999999996,0.10999999999999999,0.72,0.92,0.9015,1,0.018500000000000072,0.018500000000000072,1,-0.1815,0.1815,0.16299999999999992,-0.06537499999999999,4,0.07462500000000002,4,-0.180375,4,0.180375,4,0.10574999999999997,4,0,0,0,0,0
25,1,information_only,1,0,1,0,0,6.0,1,1,41.0,associate_degree,0,0,woman,0,medicine,not_in_paid_work,0,0,0,$70_000_$79_999,75000.0,0,white,1,0,0.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.59,0.56,0.655,1,-0.09499999999999997,0.09499999999999997,1,-0.06500000000000006,0.06500000000000006,-0.029999999999999916,0.43,0.47,0.495,1,-0.025000000000000022,0.025000000000000022,1,-0.065,0.065,0.03999999999999998,0.56,0.5,0.565,1,-0.06499999999999995,0.06499999999999995,1,-0.004999999999999893,0.004999999999999893,-0.06000000000000005,0.51,0.61,0.9015,1,-0.2915,0.2915,1,-0.39149999999999996,0.39149999999999996,0.09999999999999998,-0.11912499999999998,4,0.11912499999999998,4,-0.131625,4,0.131625,4,0.012499999999999997,4,0,0,0,0,0
26,1,information_only,1,0,1,0,0,1.0,-1,0,55.0,bachelors_degree,1,0,man,1,retired,retired,0,0,0,$150_000_$174_999,162500.0,0,white,1,0,1.0,0,0.0,0,64.0,0,0,0,0,0,0,0,1.0,1.0,0.655,1,0.345,0.345,1,0.345,0.345,0.0,0.8,0.9,0.5,1,0.4,0.4,1,0.30000000000000004,0.30000000000000004,-0.09999999999999998,0.55,0.55,0.565,1,-0.014999999999999902,0.014999999999999902,1,-0.014999999999999902,0.014999999999999902,0.0,0.95,0.9,0.9015,1,-0.0014999999999999458,0.0014999999999999458,1,0.04849999999999999,0.04849999999999999,0.04700000000000004,0.18212500000000004,4,0.19037499999999996,4,0.16962500000000003,4,0.17712499999999998,4,-0.013249999999999984,4,0,0,0,0,0
27,1,information_only,1,0,1,0,0,2.0,-1,0,44.0,associate_degree,0,0,man,1,,,0,1,0,,65000.0,1,white,1,0,1.0,0,1.0,0,64.0,0,0,0,0,0,0,0,0.86,0.65,0.655,1,-0.0050000000000000044,0.0050000000000000044,1,0.20499999999999996,0.20499999999999996,0.19999999999999996,0.28,0.54,0.495,1,0.04500000000000004,0.04500000000000004,1,-0.21499999999999997,0.21499999999999997,0.16999999999999993,0.91,0.79,0.565,1,0.2250000000000001,0.2250000000000001,1,0.3450000000000001,0.3450000000000001,0.12,0.9,0.95,0.9015,1,0.04849999999999999,0.04849999999999999,1,-0.0014999999999999458,0.0014999999999999458,-0.04700000000000004,0.07837500000000003,4,0.08087500000000003,4,0.08337500000000003,4,0.191625,4,0.11074999999999996,4,0,0,0,0,0
28,3,betting_frame,1,1,0,0,1,6.0,1,1,39.0,associate_degree,0,0,man,1,education_and_training,part_time,0,0,0,$30_000_$39_999,35000.0,0,white,1,0,1.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.89,0.56,0.655,1,-0.09499999999999997,0.09499999999999997,1,0.235,0.235,0.14,0.52,0.71,0.495,1,0.21499999999999997,0.21499999999999997,1,0.025000000000000022,0.025000000000000022,-0.18999999999999995,0.49,0.57,0.565,1,0.0050000000000000044,0.0050000000000000044,1,-0.07499999999999996,0.07499999999999996,0.06999999999999995,0.43,1.0,0.9015,1,0.09850000000000003,0.09850000000000003,1,-0.4715,0.4715,0.37299999999999994,0.05587500000000001,4,0.103375,4,-0.07162499999999998,4,0.201625,4,0.09824999999999999,4,0,0,0,0,0
29,0,control,0,0,0,0,0,1.0,-1,0,42.0,bachelors_degree,1,0,woman,0,education_and_training,not_in_paid_work,0,0,0,$80_000_$89_999,85000.0,0,white,1,0,0.0,0,0.0,0,100.0,0,1,0,0,0,0,0,0.57,0.57,0.655,1,-0.08500000000000008,0.08500000000000008,1,-0.08500000000000008,0.08500000000000008,0.0,0.31,0.33,0.495,1,-0.16499999999999998,0.16499999999999998,1,-0.185,0.185,0.020000000000000018,0.34,0.37,0.565,1,-0.19499999999999995,0.19499999999999995,1,-0.22499999999999992,0.22499999999999992,0.02999999999999997,0.65,0.68,0.9015,1,-0.22149999999999992,0.22149999999999992,1,-0.25149999999999995,0.25149999999999995,0.030000000000000027,-0.16662499999999997,4,0.16662499999999997,4,-0.18662499999999999,4,0.18662499999999999,4,0.020000000000000004,4,0,0,0,0,0
30,2,accuracy_incentive,1,1,0,1,0,6.0,1,1,35.0,associate_degree,0,0,man,1,retail,full_time,1,0,0,$30_000_$39_999,35000.0,0,white,1,0,0.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.49,0.63,0.655,1,-0.025000000000000022,0.025000000000000022,1,-0.16500000000000004,0.16500000000000004,0.14,0.33,0.57,0.5,1,0.06999999999999995,0.06999999999999995,1,-0.16999999999999998,0.16999999999999998,0.10000000000000003,0.0,0.27,0.565,1,-0.29499999999999993,0.29499999999999993,1,-0.565,0.565,0.27,0.67,0.91,0.9015,1,0.008500000000000063,0.008500000000000063,1,-0.23149999999999993,0.23149999999999993,0.22299999999999986,-0.060374999999999984,4,0.09962499999999999,4,-0.282875,4,0.282875,4,0.18324999999999997,4,0,0,0,0,0
31,3,betting_frame,1,1,0,0,1,2.0,-1,0,35.0,associate_degree,0,0,woman,0,medicine,part_time,0,0,0,$50_000_$59_999,55000.0,0,white,1,0,1.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.85,1.0,0.655,1,0.345,0.345,1,0.19499999999999995,0.19499999999999995,-0.15000000000000002,0.25,0.3,0.5,1,-0.2,0.2,1,-0.25,0.25,0.04999999999999999,0.15,0.0,0.565,1,-0.565,0.565,1,-0.4149999999999999,0.4149999999999999,-0.15000000000000002,0.75,1.0,0.9015,1,0.09850000000000003,0.09850000000000003,1,-0.15149999999999997,0.15149999999999997,0.052999999999999936,-0.08037499999999999,4,0.302125,4,-0.15537499999999999,4,0.25287499999999996,4,-0.04925000000000003,4,0,0,0,0,0
